sentence,label_actual,,,,,,,,,,,,,,,,,,,,
"(9) To determine as to whether the authorisations/permissions given by the State Boards for handling hazardous wastes are in accordance with Rule 5(4) and Rule 11 of the Hazardous Wastes Rules, 1989 and whether the decision of the State Pollution Control Boards is based on any prescribed procedure of checklist.",['Legal_Principles'],,,,,,,,,,,,,,,,,,,,
To recommend a mechanism for publication of inventory at regular intervals giving areawise information about the level and nature of hazardous wastes.,['Other'],,,,,,,,,,,,,,,,,,,,
(11) What should be the framework for reducing risks to environment and public health by stronger regulation and by promoting production methods and products which are ecologically friendly and thus reduce the production of toxics?,['Other'],,,,,,,,,,,,,,,,,,,,
To consider any other related area as the Committee may deem fit.,['Other'],,,,,,,,,,,,,,,,,,,,
(13) To examine the quantum and nature of hazardous waste stock lying at the docks/ports/ICDs and recommend a mechanism for the docks/ports/ICDs safe disposal or re-export to the original exporters.,['Other'],,,,,,,,,,,,,,,,,,,,
(14) Decontamination of ships before ships are exported to #respondants# for breaking.,['Fact'],,,,,,,,,,,,,,,,,,,,
Each one of the said terms of reference are of special significance as far as the reliefs prayed for in the Writ Petition are concerned.,['Other'],,,,,,,,,,,,,,,,,,,,
"The said High Powered Committee, comprised of experts from different fields, submitted The report after making a thorough examination of all matters relating to hazardous wastes.",['Other'],,,,,,,,,,,,,,,,,,,,
"On 14th October, 2003, the Writ Petition was taken up by this Court to consider its reportthe High Powered Committee on the Terms of Reference.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Although, initially, the deliberations with regard to the contents of the Writ Petition were confined to different toxic materials imported into #respondants#, at different stages of the proceedings, a good deal of emphasis came to be laid on the issue relating to imported waste oil lying in the ports and docks, as well as on ship breaking.",['Fact'],,,,,,,,,,,,,,,,,,,,
"this Court this Court observed that the ship breaking operations could not be allowed to continue, without strictly adhering to all precautionary principles, CPCB guidelines and upon taking the requisite safeguards, which have been dealt with extensively in the report of the High Powered Committee, which also included the working conditions of the workmen.",['Fact'],,,,,,,,,,,,,,,,,,,,
One of the other issues which was required to be dealt with was the disappearance of hazardous waste from authorized ports/Indian Container Depots/Container Freight Stations and also as to how to deal with the containers lying there.,['Other'],,,,,,,,,,,,,,,,,,,,
"Since disappearance of hazardous waste was one of the Terms of Reference, by order dated 10th December, 1999, this Court this Court directed that a list of importers who had made illegal imports be placed on record.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Since the same was not done, this Court on 3rd December, 2001, directed the Government to inquire into the matter, which resulted in the appointment of an eight-member Committee by the Government, chaired by Mr. A.C. Wadhawan.",['Fact'],,,,,,,,,,,,,,,,,,,,
"The report dated 26th July, 2002, submitted by the said Committee suggested that action should be taken against the importer for illegal import under the Customs Act, 1962, and also under the Central Excise Act, 1944.",['Other'],,,,,,,,,,,,,,,,,,,,
this Court categorized the matter into two parts.,['Fact'],,,,,,,,,,,,,,,,,,,,
"The first part related to imports made and cleared, where the consignments had already found the consignments way to the market.",['Other'],,,,,,,,,,,,,,,,,,,,
The second part related to the stocks of hazardous waste lying at various ports/ICDs/CFSs.,['Other'],,,,,,,,,,,,,,,,,,,,
The question which arose was as to how the said stock was to be cleared from where they were lying.,['Other'],,,,,,,,,,,,,,,,,,,,
"this Court was of the view that the stock in question could be divided into two categories; one, relating to imports of goods which were banned under the H.W.M.H. Rules, 1989, as amended up to date or falling under the banned category as per the Basel Convention and the other relating to waste in respect whereof there was no ban and being regulated, no ban was permissible to recycle and reprocess the same within the permissible parameters by specified authorized persons having requisite facilities under the Rules, as amended up to date.",['Fact'],,,,,,,,,,,,,,,,,,,,
"this Court directed that the said consignments falling under the said category were to be released or disposed of or auctioned in terms of the Rules, to the registered recyclers and reprocessors.",['Fact'],,,,,,,,,,,,,,,,,,,,
"However, in case the importer of such goods remained untraceable, the authorities were directed to deal with the same at the risk, cost and consequences of the importer.",['Other'],,,,,,,,,,,,,,,,,,,,
"the importer was specified that the consignment of such importer could not be allowed to remain at the ports etc indefinitely, merely because the importer was not traceable.",['Other'],,,,,,,,,,,,,,,,,,,,
"For the purpose of dealing with such consignments where the importer could not be traced, this Court this Court was of the view that the same should be dealt with, disposed of/auctioned by a Monitoring Committee which was appointed by this Court by the said order itself.",['Fact'],,,,,,,,,,,,,,,,,,,,
"a Monitoring Committee was comprised of existing members of a Monitoring Committee which was appointed by the Court by the said order itself constituted by the MoE and Forests, along with one Dr. Claude Alvares, NGO and Dr. D.B. Boralkar.",['Other'],,,,,,,,,,,,,,,,,,,,
a Monitoring Committee was directed to oversee that the directions of this Court this Court were implemented in a time-bound fashion.,['Fact'],,,,,,,,,,,,,,,,,,,,
One of the other issues which came up for consideration before this Court,['Fact'],,,,,,,,,,,,,,,,,,,,
this Court was the MARPOL Convention which made this Court compulsory for signatory nations to allow discharge of sludge oil for the purposes of recycling.,['Fact'],,,,,,,,,,,,,,,,,,,,
"In the wake of the other issues which were taken up by this Court this Court while considering the report of the High Powered Committee and that of a Monitoring Committee which was appointed by the Court by the said order itself, the issue relating to the provisions of the Global Convention was set apart for decision at a later stage.",['Fact'],,,,,,,,,,,,,,,,,,,,
"the Global Convention was signed on 17th February, 1973, but did not come into force.",['Other'],,,,,,,,,,,,,,,,,,,,
"Subsequently, in combination with the 1978 Protocol, the Global Convention was brought into force on 2nd October, 1983.",['Other'],,,,,,,,,,,,,,,,,,,,
"As will be noticed from the acronym, the expression ""MARPOL"" is the short form of ""Marine Pollution"".",['Other'],,,,,,,,,,,,,,,,,,,,
"The same was signed with the intention of minimizing pollution on the seas, which included dumping, oil and exhaust pollution.",['Other'],,,,,,,,,,,,,,,,,,,,
Its object was to preserve the marine environment through the complete elimination of pollution by oil and other harmful substances and the minimization of accidental discharge of such substances.,['Other'],,,,,,,,,,,,,,,,,,,,
"As far as this aspect of the matter is concerned, the #respondants# was directed to file an affidavit indicating in detail how the said oil was dealt with.",['Fact'],,,,,,,,,,,,,,,,,,,,
The issue relating to the import of such sludge oil was left unresolved for decision at a subsequent stage.,['Other'],,,,,,,,,,,,,,,,,,,,
"However, during the course of hearing in regard to the import of waste oil purportedly in violation of the H.W.M.H. Rules, 1989, the two dominating principles relating to pollution, namely, the polluter-pays principle and precautionary principle, were examined at length.",['Other'],,,,,,,,,,,,,,,,,,,,
"the report of the High Powered Committee indicated that the hazardous waste oil was imported into the country in the garb of furnace oil and, in fact, the containers and the vessels in which they were being transported, were also highly polluted, causing a tremendous risk to the environment and to human existence.",['Other'],,,,,,,,,,,,,,,,,,,,
"Ultimately, by the said order of 14th October, 2003, certain directions were given regarding the procedure to be adopted, with regard to ship breaking, to the CPCB, to prepare a national inventory for rehabilitation of hazardous waste dump sites.",['Other'],,,,,,,,,,,,,,,,,,,,
"the State Pollution Control Boards were directed to ensure that all parties dealing in hazardous chemicals which generated hazardous wastes, displayed online data in that regard outside all parties dealing in hazardous chemicals which generated hazardous wastes, displayed online data in that regard outside their respective factories, on the pattern of Andhra Pradesh respective factories, on the pattern of Andhra Pradesh.",['Other'],,,,,,,,,,,,,,,,,,,,
the MoE and Forests were also directed to consider making provision for Bank Guarantees.,['Other'],,,,,,,,,,,,,,,,,,,,
Certain recommendations were also made with regard to legislation in order to destroy any transboundary movement of hazardous wastes or other wastes and to punish such illegal trafficking stringently.,['Other'],,,,,,,,,,,,,,,,,,,,
"The matter rested there and only interim directions were given from time to time till The matter surfaced again before this Court on 25th January, 2003.",['Fact'],,,,,,,,,,,,,,,,,,,,
"On this occasion, the focus of the Court the Court was directed towards the presence of hazardous waste oil in 133 containers lying at Nhava Sheva Port, as noticed by the High Powered Committee.",['Other'],,,,,,,,,,,,,,,,,,,,
"On the directions of this Court, the oil contained in the said 133 containers was sent for laboratory test to determine whether the same was hazardous waste oil or not.",['Fact'],,,,,,,,,,,,,,,,,,,,
After such examination such examination was found to be hazardous waste.,['Other'],,,,,,,,,,,,,,,,,,,,
"Considering the detailed report submitted by the Commissioner of Customs (Imports), Mumbai, and a Monitoring Committee, and after hearing learned Counsel for the parties, the Court this Court observed that the issue to be determined in the proceedings was limited to the environment and in giving proper directions for dumping consignments in question, having regard to the precautionary principle and polluter-pays principle.",['Fact'],,,,,,,,,,,,,,,,,,,,
"The main question before this Court was whether only a direction was required to be issued for the destruction of the consignment in order to protect the environment and, if not, in what other manner could the consignments be dealt with.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Having considered the provisions of the Basel Convention on the Control of Trans-Boundary Movement of Hazardous Wastes and -Boundary Movement of Hazardous Wastes disposal, and the report of the Monitoring Committing recommending destruction of the consignments by incineration, but also keeping in mind the fact that import of waste oil was permitted for the purpose of recycling, this Court directed that where the consignment was found fit for recycling, the same should not be destroyed, but recycling should be permitted under the supervision of a Monitoring Committee.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"However, it was also recorded that if recycling was not considered advisable by the #respondants#, the consignment would also have to be destroyed by incineration along with other consignments.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
In such a case the cost of incineration was to be borne by the #respondants#.,['Fact'],,,,,,,,,,,,,,,,,,,,
"Taking further note of the precautionary principle forming part of the Vienna Declaration and also having regard to the polluter-pays principle, this Court this Court directed that this Court would be feasible to dispose of the oil under the supervision of the Monitoring Committee by incineration which would have no impact on the environment.",['Fact'],,,,,,,,,,,,,,,,,,,,
"It was directed that the 133 containers in question be destroyed by incineration as per the recommendations of a Monitoring Committee and under a Monitoring Committee supervision, at the cost of the importer which was assessed by a Monitoring Committee.",['Other'],,,,,,,,,,,,,,,,,,,,
"12/- per kilo, which would have to be paid by the importers in advance.",['Other'],,,,,,,,,,,,,,,,,,,,
"In the order dated 9th May, 2005, this Court this Court took up for consideration the Fifth Quarterly Report of March 2005, filed by a Monitoring Committee from which this Court was seen that the waste oil contained in the 133 containers had not been destroyed in terms of the direction given on 5th January, 2005, on account of non-payment of the cost of incineration by the importers.",['Fact'],,,,,,,,,,,,,,,,,,,,
"None of the importers had made the payment for incineration, though, a direction had been given to deposit the cost of incineration within four weeks from the date of the order.",['Other'],,,,,,,,,,,,,,,,,,,,
"However, while taking serious note of non-payment of the incineration cost, the Court this Court also felt that the destruction of the waste oil could not be delayed any further and directed immediate destruction of the waste oil in terms of order dated 5th May, 2005, by a Monitoring Committee and for the said purpose the cost of incineration was to be initially borne by the Customs Department, to be recovered from the importers.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Simultaneously, a further opportunity was given to the importers to deposit the cost of incineration with a Monitoring Committee within two weeks, failing which the importers were directed to remain present in this Court on 18th July, 2005, and to show-cause why proceedings for contempt should not be taken against the importers.",['Fact'],,,,,,,,,,,,,,,,,,,,
a Monitoring Committee was directed to file a report in that regard on the next date.,['Other'],,,,,,,,,,,,,,,,,,,,
"One other aspect was also taken note of with regard to the directions given to the Jawaharlal Nehru Port Trust, Mumbai Port Trust and the Commissioner of Customs, to furnish requisite information with regard to the 170 containers, which were lying unclaimed, to a Monitoring Committee.",['Other'],,,,,,,,,,,,,,,,,,,,
"Since the same had not been filed within four weeks, as directed, the Chairperson of the Jawaharlal Nehru Port Trust, Mumbai Port Trust and the Chief Commissioner of Customs Department, were directed to file personal affidavits as to why the order of this Court had not been complied with.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Subsequently, suo-motu contempt proceedings, being No. 155 of 2005, in Writ Petition(C) No. 657 of 1995, were initiated for noncompliance of the directions contained in the order of 9th May, 2005.",['Other'],,,,,,,,,,,,,,,,,,,,
"As far as the suo-motu contempt proceedings are concerned, the same are an off-shoot of the various orders passed in the writ proceedings and the same will have to be considered separately from the reliefs prayed for in the writ petition itself.",['Other'],,,,,,,,,,,,,,,,,,,,
"At the very beginning of this judgment #Current Court# have set out the reliefs prayed for in the writ petition itself prayed for in the writ petition, which, inter alia, include a prayer for a direction upon the #respondants# to ban imports of all hazardous/toxic wastes and for a further direction to amend the rules in conformity with the BASEL Convention and Articles 21, 47 and 48A of the Constitution.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Apart from the above, a declaration has also been sought that without adequate protection of the workers and the public and without any provision of sound environment management of disposal of hazardous/toxic wastes, the Hazardous Wastes (Management & Handling) Rules, 1989, are violative of the Fundamental Rights guaranteed under the Constitution and, therefore, unconstitutional.",['Legal_Principles'],,,,,,,,,,,,,,,,,,,,
"Since the writ proceedings became a continuing mandamus, this Court from time to time took up several issues emanating from the first prayer in the Writ Petition to ban imports of all hazardous/toxic wastes.",['Fact'],,,,,,,,,,,,,,,,,,,,
"However, in the process, one of the Conventions, namely, the impact of the Global Convention, though referred to, was not decided and left for decision at the final hearing.",['Other'],,,,,,,,,,,,,,,,,,,,
"Accordingly, that aspect of the matter has to be decided also in the writ proceedings.",['Other'],,,,,,,,,,,,,,,,,,,,
"In one of the earlier orders passed on 5th May, 1997, two Hon'ble Judges had occasion to deal with the enormous generation of hazardous wastes in the country each day and two Hon'ble Judges Lordships were of the opinion that the said fact alone indicated sufficiently the magnitude of the problem and the promptitude with which it was needed to be tackled before the damage became irreversible.",['Other'],,,,,,,,,,,,,,,,,,,,
"Their Lordships Their Lordships observed that prompt action was required to be taken, not only by the #respondants#, but also by the State Governments and the Central and the State Pollution Control Boards.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Accordingly, Notice was given to all the State Governments and the State Control Boards to file all the State Governments and the State Control Boards replies, and directions were also given that with effect from that date no authorization/ permission would be given by any authority for the import of wastes which had already been banned by the #respondants# or by any order made by any this Court or any other authority.",['Fact'],,,,,,,,,,,,,,,,,,,,
"In addition, it was also directed that with effect from the date of the order, no import would be made or permitted by any authority or any person of any hazardous waste, which was already banned under the Basel Convention or was to be banned subsequently, with effect from the date specified therein.",['Other'],,,,,,,,,,,,,,,,,,,,
Notice was also issued to the State Governments to show cause as to why an order should not be made directing closure of the units utilizing the hazardous wastes where provision had already been made for requisite safe disposal sites.,['Other'],,,,,,,,,,,,,,,,,,,,
"In addition, the State Governments were also directed to show cause as to why immediate orders should not be made for the closure of all unauthorized hazardous waste handling units.",['Other'],,,,,,,,,,,,,,,,,,,,
"Thereafter, during the pendency of the matter, a fresh Special Leave Petition was filed, being SLP(C)No.",['Other'],,,,,,,,,,,,,,,,,,,,
"16175 of 1997, by Dr. Surendra Dhelia against the #respondants# and others regarding import of contaminated waste oil and others regarding import of contaminated waste oil and their disposal disposal, since despite directions given to the State Governments and the #respondants#, no affidavits were forthcoming and, as a result, on 4th February, 2002, a direction was given to the Secretary in the MoE and Forests to file affidavits in compliance with the orders passed on 14th September, 2001 and 3rd December, 2001.",['Fact'],,,,,,,,,,,,,,,,,,,,
"A sum of Rs. 10,000/- was also imposed as costs against the MoE and Forests.",['Fact'],,,,,,,,,,,,,,,,,,,,
"The matter came up again before this Court on 24th September, 2003, in which the H.W.M.H. Rules, 1989, fell for consideration having regard to Section 11 of the Customs Act, 1962, which empowers the #respondants# to prohibit either absolutely or subject to such conditions as may be specified in the notification, the import and export of the goods, if satisfied that it is necessary so to do for any of the purposes stated in Sub-Section (2).",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
"Since on behalf of the #respondants# the #respondants# was submitted that the import of 29 items had already been prohibited under Schedule 8 of the Hazardous Waste Rules, this Court directed the #respondants# to issue a notification without further delay under Section 11 of the Customs Act, 1962, prohibiting the import of the said 29 items.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
Their Lordships Their Lordships also noted that the Basel Convention had banned 76 items.,['Other'],,,,,,,,,,,,,,,,,,,,
"Their Their Lordships were of the view that the remaining items were also required to be examined and, if necessary, to issue additional notifications to comply with any ban that may have been imposed in respect of remaining items.",['Other'],,,,,,,,,,,,,,,,,,,,
What is more important is the fact that the Hon'ble Judges took note of the provisions of the Hazardous Waste Rules which allowed import of certain items subject to fulfillment of certain conditions.,['Other'],,,,,,,,,,,,,,,,,,,,
"this Court this Court directed that before the imported consignment was cleared, a notification was to be issued making the compliance of the said conditions mandatory.",['Fact'],,,,,,,,,,,,,,,,,,,,
"In particular, in paragraph 7 of Their Lordships order, a direction was given to the Competent Authority to the effect that while disposing of hazardous waste, in exercise of power under Sections 61 and 62 of the Major Port Trusts Act, 1963, Their were required to ensure that the H.W.M.H. Rules, as amended up to date, and in particular, Rules 19 and 20 thereof, were complied with.",['compliance'],,,,,,,,,,,,,,,,,,,,
"The said direction becomes relevant in relation to the third prayer made in the Writ Petition, as referred to hereinabove, relating to the constitutionality of the H.W.M.H. Rules, 1989.",['Other'],,,,,,,,,,,,,,,,,,,,
"One thing is clear that even at the interim stage, there was no challenge as such to the constitutionality of the aforesaid Rules and that, on the other hand, directions were given by this Court to ensure compliance thereof.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Then came the orders relating to the import of 133 containers of hazardous waste oil, in the garb of lubricating oil, which led to the appointment of a Monitoring Committee to oversee the destruction by incineration of the waste oil, as well as the containers thereof.",['Other'],,,,,,,,,,,,,,,,,,,,
"Detailed orders having been passed in relation to the destruction of the waste and hazardous oil imported into the country in the garb of lubricating oil, and the directions given to a Monitoring Committee regarding re-export of the same, #Current Court# will consider the impact of the Global Convention against such background.",['Fact'],,,,,,,,,,,,,,,,,,,,
"The MARPOL Convention, normally referred to as ""MARPOL 73/78"", may be traced to its beginnings in 1954, when the first conference was held and an International Convention was adopted for the Prevention of Pollution of Sea by Oil (OILPOL).",['Other'],,,,,,,,,,,,,,,,,,,,
"The same came into force on 26th July, 1958 and attempted to tackle the problem of pollution of the seas by oil, such as,",['Other'],,,,,,,,,,,,,,,,,,,,
(a) crude oil;,['Other'],,,,,,,,,,,,,,,,,,,,
(b) fuel oil;,['Other'],,,,,,,,,,,,,,,,,,,,
(c) heavy diesel oil; and,['Other'],,,,,,,,,,,,,,,,,,,,
(d) lubricating oil.,['Other'],,,,,,,,,,,,,,,,,,,,
"the Global Convention was amended subsequently in 1962, 1969 and 1971, limiting the quantities of oil discharge into the sea by Oil Tankers and also the oily wastes from use in the machinery of the vessel.",['Other'],,,,,,,,,,,,,,,,,,,,
"Prohibited zones were established extending the setting up of earmarked areas in which oil could be discharged, extending at least 50 miles from the nearest land.",['Other'],,,,,,,,,,,,,,,,,,,,
"In 1971, reminders were issued to protect the Great Barrier Reef of Australia.",['Other'],,,,,,,,,,,,,,,,,,,,
1973 saw the adoption of the International Convention for the Prevention of Pollution from Ships.,['Other'],,,,,,,,,,,,,,,,,,,,
"The said Convention, commonly referred to as MARPOL, was adopted on 2nd November, 1973, at the International Marine Organization and covered pollution by :",['Other'],,,,,,,,,,,,,,,,,,,,
(i) oil;,['Other'],,,,,,,,,,,,,,,,,,,,
(ii) chemicals;,['Other'],,,,,,,,,,,,,,,,,,,,
(iii) harmful substances in packaged form;,['Other'],,,,,,,,,,,,,,,,,,,,
(iv) sewage; and,['Other'],,,,,,,,,,,,,,,,,,,,
(v) garbage,['Other'],,,,,,,,,,,,,,,,,,,,
"Subsequently, the 1978 MARPOL Protocol was adopted at a Conference on Tanker Safety and Pollution Prevention in February, 1978.",['Other'],,,,,,,,,,,,,,,,,,,,
